row,title_lat_norm
838,premera aguna
839,kona eka sajhe
840,samaya় ara katena
841,ki kare sava bhule yai
842,akashera nile
843,shanti chai
844,ta nra bhara eka rate
845,amara ek tai tumi
846,nijhuma rata
847,janmechi ei yuge
848,par oya়aradegara
849,hrridaya়era davi
850,aha jivana
851,ei nashta shahare
852,ye a nkhite eta hasi lukano
853,amara chota bhai
854,ekhana ami vidrohi
855,jhal male vikele
856,drrishtira simanaya়
857,phire chai
858,savuja yakhana
859,o duniya়ara manusha
860,dakapiya়na
861,sunita
862,miravai
863,mana chuya়echo
864,vaji
865,vrrishti
866,cha ndera shahare
867,jivanamajhi
868,nei tumi
869,manusha vada় eka
870,avegera sure
871,yete yete parichaya়
872,ekaki ami
873,ebhavei yadi
874,ami ara bhav vona
875,abhimane thakate valini
876,amara sapna ye satyi hala aja
877,josi prema
878,dioya়ana mastana
879,sukha pakhi
880,sukhi manushera bhida়e
881,premika meya়ra
882,agera janama
883,yatina syarera klase
884,tipa tipa vrrishti
885,hyalo dhaka
886,alo adhare
887,erai majhe
888,palashira prantara
889,jivanajvala
890,palaki 1
891,isha kha
892,nira kshama kara
893,hariya়e tomake
894,ma
895,svarnalata
896,sukha ase
897,rupera maiya
898,du chokhera antarale
899,alo o aleya
900,se yena amara pashe ajao vase ache
901,jhara patara gana
902,u dachi kena
903,ayana
904,vrrishtira gana
905,vaula vatasa 1
906,kagajera nauka
907,patara gava
908,svapnapuri
909,veoya়arisha
910,ye deshete shapala shaluka jhilera jale bhase
911,cha nda jaga ei rate
912,sulatana viviya়ana
913,avujha mana
914,michile yai
915,kashta kake vale
916,pherioya়ala
917,uda়ala devo akashe
918,kare ara mana divi tui
919,ghara
920,naya়na
921,chandera vatira kasama diya়a
922,svadhina vamla vetara kendra
923,phrasatreshana
924,vamladesha
925,pahada়i meya়e
926,katakala khujavo tomaya়
927,milanera rakta
928,valukavelaya়
929,prema tumi
930,palai palai
931,kara kache yavo
932,haraya়
933,va da vavu mashtara
934,lokajana kame geche
935,vyastata
936,kichu katha kichu gana
937,udasi
938,nila vedana
939,sapnacharini
940,khokana kothao nai
941,pratimara chavi
942,nura hosena
943,chaya়era kape
